ID	FirstFound	LastPresent	LastChecked	Fate	Freq	Year	HenAge	Date	Dlek	Sage	NonSage	RoadD500	All1000	NMG_Ht	AvgGrsHt100
159.286N109	8	11	16	1	1	2009	Adult	0.390788969	0.27325712	0.004099098	-0.62869043	0.190043434	0.786658747	-0.715592124	-0.462340243
159.286N209	12	12	15	1	1	2009	Adult	1.387311735	0.235635815	-0.245614189	1.921388113	0.763922146	0.71426121	-0.7274997	-0.689915097
159.386N309	13	28	31	1	1	2009	Adult	0.639919661	-0.166247857	0.241168675	-0.344938916	0.850883801	-0.641675164	-0.370272426	-0.833202967
159.427N109	13	28	34	1	1	2009	Adult	0.639919661	0.920526316	0.901802561	0.616868165	0.416109632	0.600782372	-0.310734547	-0.142049709
159.620N209	11	18	21	1	1	2009	Adult	2.051660246	-1.171471034	0	0	0	0	-0.596516366	0
159.680N109	11	21	24	1	1	2009	Adult	2.051660246	1.90284007	1.752092108	-0.62869043	-0.488189264	-0.530150673	1.007037172	2.040046622
159.696N109	13	27	32	1	1	2009	Adult	-0.190515978	-0.348244308	-0.119177081	-0.462861623	0.259578654	0.786658747	-0.596516366	-0.529769829
159.767N109	9	13	16	1	1	2009	Adult	-1.353125872	-0.902410363	-0.122338009	-0.385474847	-0.853394109	0.786658747	0.057408004	-0.698343795
159.767N209	11	21	24	1	1	2009	Adult	0.307745405	-0.903445487	-0.349924802	-0.120148755	-0.488189264	0.786658747	-0.691776972	-0.155161017
159.906N109	16	25	29	1	1	2009	Adult	-1.020951616	-0.524609231	1.002952247	-0.072242656	1.146519322	0.649694399	-0.965651215	-0.718572671
159.941N209	13	21	26	1	1	2009	Adult	0.722963224	-0.500097116	-0.289867176	0.329431566	-0.853394109	0.514691068	-0.286919396	-0.691600836
159.945N209	13	25	29	1	1	2009	Adult	0.806006788	-0.845792743	-0.128659864	0.487890204	0.659568161	0.140970631	-0.691776972	-1.541213622
159.996N109	12	12	18	1	1	2009	Adult	0.307745405	-0.85709371	0.282260735	-0.62869043	1.163877551	0.11162208	-0.70765374	-0.570227581
159.996N209	7	7	12	1	1	2009	Adult	1.885573118	-0.981233641	0.904963488	-0.62869043	1.076949999	0.027491793	-0.382180002	0.211955619
160.087N109	12	27	31	1	1	2009	Adult	-0.190515978	-0.291604513	-0.122338009	-0.62869043	-0.853394109	-0.305134004	-0.679869397	-0.544754182
160.156N209	12	26	31	1	1	2009	Adult	0.307745405	1.000064582	-0.397338718	0.141492251	-0.853394109	-2.281325306	-0.894205761	0.64543153
160.187N109	13	13	16	1	1	2009	Adult	0.722963224	-1.035842661	-0.119177081	0.178343097	-0.853394109	0.782743384	-0.787037579	-0.681486398
160.187N209	5	17	25	1	1	2009	Adult	2.632965193	-1.072437403	0.987147608	-0.62869043	-0.853394109	0.782743384	0.022677574	-0.243194088
160.218N109	14	30	35	1	1	2009	Adult	-0.522690233	-1.136713398	0.361283927	-0.525508061	-0.540366257	0.553818021	0.006800807	-0.38142474
